,number,value,datetime_start,datetime_complete,duration,params_Tu,params_Tv,system_attrs_fail_reason,state
148,148,62468069.17733072,2022-01-14 10:41:13.664874,2022-01-14 10:41:16.503192,0 days 00:00:02.838318,9.342246404397917,3875590.17089552,,COMPLETE
149,149,509255.5245596226,2022-01-14 10:41:16.630122,2022-01-14 10:41:18.548543,0 days 00:00:01.918421,15.006258163556513,31439.77703599366,,COMPLETE
150,150,80081359.60016353,2022-01-14 10:41:18.713638,2022-01-14 10:41:21.919800,0 days 00:00:03.206162,11.660234072295143,4968335.461056651,,COMPLETE
151,151,42498593.16550175,2022-01-14 10:41:22.074893,2022-01-14 10:41:24.649990,0 days 00:00:02.575097,4.260309565552344,2636721.8379290127,,COMPLETE
152,152,137673305.1796496,2022-01-14 10:41:24.830889,2022-01-14 10:41:27.387144,0 days 00:00:02.556255,8.86498548468446,8541486.95021155,,COMPLETE
153,153,,2022-01-14 10:41:27.552490,2022-01-14 10:41:27.901130,0 days 00:00:00.348640,0.07838120021338568,167360.70682708823,Trial 153 failed because of the following error: AssertionError(),FAIL
154,154,231726.026064038,2022-01-14 10:41:56.775958,2022-01-14 10:42:00.160598,0 days 00:00:03.384640,0.5393611823603051,14424.488648752304,,COMPLETE
155,155,,2022-01-14 10:42:00.316919,2022-01-14 10:42:00.738607,0 days 00:00:00.421688,0.06664928839937645,134599.81819939913,Trial 155 failed because of the following error: Exception(),FAIL
156,156,,2022-01-14 10:53:13.440009,2022-01-14 10:53:14.036226,0 days 00:00:00.596217,0.08244850344364085,84740.06022631587,Trial 156 failed because of the following error: AssertionError(),FAIL
157,157,28947609.80106699,2022-01-14 11:02:30.128412,2022-01-14 11:02:49.609316,0 days 00:00:19.480904,7.235350531968558,1795948.1820766542,,COMPLETE
158,158,65976718.43051766,2022-01-14 11:02:49.717128,2022-01-14 11:02:53.884205,0 days 00:00:04.167077,1.2145192391899986,4093374.251194486,,COMPLETE
159,159,5335021.830602551,2022-01-14 11:02:54.033103,2022-01-14 11:02:56.260180,0 days 00:00:02.227077,13.497047222943543,330876.24476381164,,COMPLETE
160,160,3708445.565191001,2022-01-14 11:02:56.414223,2022-01-14 11:03:01.476648,0 days 00:00:05.062425,4.419112294288021,230098.83242656832,,COMPLETE
161,161,1222927.2556905374,2022-01-14 11:03:01.708295,2022-01-14 11:03:04.139177,0 days 00:00:02.430882,18.83725935740063,75625.55986406628,,COMPLETE
162,162,97187565.63604364,2022-01-14 11:03:04.337313,2022-01-14 11:03:08.423210,0 days 00:00:04.085897,6.532121690595282,6029707.34073788,,COMPLETE
163,163,9.223372036854776e+18,2022-01-14 11:03:08.564381,2022-01-14 11:03:08.804081,0 days 00:00:00.239700,0.019772837468734705,2766676.6850008382,,COMPLETE
164,164,9.223372036854776e+18,2022-01-14 11:03:08.970428,2022-01-14 11:03:09.242086,0 days 00:00:00.271658,48.75453096072239,1974591.8944456107,,COMPLETE
165,165,1852613.9775910317,2022-01-14 11:15:21.673785,2022-01-14 11:15:24.055439,0 days 00:00:02.381654,14.306064951359907,114801.51580208441,,COMPLETE
166,166,79239143.8678207,2022-01-14 11:15:24.233029,2022-01-14 11:15:28.605268,0 days 00:00:04.372239,10.491765406020914,4916081.831166474,,COMPLETE
